topic,score
101001,3
101002,2
101003,2
101004,2
101005,2
101006,3
102001,3
102002,2
102003,3
102004,2
102005,2
102006,2
103001,3
103002,3
103003,3
103004,3
103005,4
103006,3
104001,2
104002,2
104003,3
104004,3
104005,2
104006,2
105001,3
105002,2
105003,2
105004,1
105005,2
105006,3
106001,4
106002,3
106003,3
106004,4
106005,3
106006,4
107001,4
107002,3
107003,2
107004,4
107005,4
107006,4
108001,4
108002,3
108003,3
108004,3
108005,3
108006,3
109001,3
109002,2
109003,2
109004,2
109005,2
109006,2
110001,3
110002,3
110003,3
110004,4
110005,3
110006,4
111001,2
111002,3
111003,2
111004,3
111005,3
111006,3
112001,3
112002,3
112003,3
112004,3
112005,4
112006,5
113001,4
113002,2
113003,3
113004,3
113005,3
113006,4
114001,1
114002,2
114003,1
114004,1
114005,2
114006,1
115001,2
115002,3
115003,2
115004,4
115005,4
115006,4
116001,3
116002,3
116003,3
116004,3
116005,3
116006,3
117001,3
117002,2
117003,1
117004,3
117005,3
117006,2
118001,1
118002,4
118003,2
118004,2
118005,4
118006,5
119001,4
119002,4
119003,3
119004,4
119005,4
119006,3
120001,2
120002,3
120003,3
120004,2
120005,2
120006,4
121001,2
121002,1
121003,1
121004,2
121005,1
121006,2
122001,1
122002,2
122003,2
122004,2
122005,3
122006,2
123001,3
123002,3
123003,3
123004,2
123005,3
123006,2
124001,2
124002,2
124003,3
124004,2
124005,2
124006,2
125001,3
125002,3
125003,3
125004,3
125005,2
125006,3
126001,3
126002,4
126003,2
126004,1
126005,4
126006,4
127001,2
127002,2
127003,1
127004,2
127005,2
127006,3
128001,4
128002,3
128003,3
128004,3
128005,2
128006,4
129001,2
129002,3
129003,2
129004,3
129005,3
129006,3
130001,2
130002,2
130003,2
130004,1
130005,3
130006,3
131001,2
131002,1
131003,1
131004,2
131005,1
131006,2
132001,2
132002,4
132003,3
132004,3
132005,3
132006,4
133001,4
133002,3
133003,1
133004,2
133005,4
133006,3
134001,3
134002,3
134003,2
134004,2
134005,2
134006,2
135001,2
135002,3
135003,2
135004,1
135005,2
135006,3
136001,3
136002,4
136003,3
136004,3
136005,2
136006,4
137001,3
137002,3
137003,3
137004,2
137005,3
137006,4
138001,3
138002,3
138003,3
138004,2
138005,2
138006,3
139001,2
139002,2
139003,3
139004,3
139005,3
139006,3
140001,3
140002,2
140003,2
140004,2
140005,2
140006,2
141001,2
141002,2
141003,1
141004,2
141005,2
141006,2
142001,3
142002,3
142003,3
142004,3
142005,3
142006,3
143001,4
143002,3
143003,3
143004,3
143005,3
143006,3
144001,2
144002,3
144003,2
144004,2
144005,3
144006,3
145001,2
145002,2
145003,2
145004,1
145005,1
145006,2
146001,2
146002,2
146003,3
146004,1
146005,2
146006,3
147001,2
147002,2
147003,2
147004,1
147005,2
147006,3
148001,4
148002,3
148003,4
148004,4
148005,4
148006,4
149001,2
149002,3
149003,2
149004,1
149005,2
149006,3
150001,2
150002,2
150003,2
150004,4
150005,2
150006,2
