topic,score1,score2,score3,score4,score5
101001,"[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
101002,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 3, 3]","[2, 3, 2, 2, 3]"
101003,"[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 1, 1, 2]","[1, 2, 2, 1, 2]"
101004,"[2, 3, 3, 3, 3]","[2, 3, 2, 3, 3]","[1, 2, 2, 2, 2]","[2, 3, 3, 3, 3]","[2, 3, 2, 2, 3]"
101005,"[2, 3, 3, 3, 3]","[1, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[1, 3, 2, 3, 3]"
101006,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]"
102001,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 4, 3, 3, 3]"
102002,"[1, 2, 2, 2, 2]","[2, 3, 2, 2, 3]","[1, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 3, 2, 3, 3]"
102003,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]"
102004,"[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 3, 3, 2, 3]","[2, 3, 2, 3, 3]"
102005,"[1, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[1, 2, 2, 2, 2]","[1, 2, 2, 1, 2]"
